Sample,InvL35_Exposure(us),InvL35_Total Frames,InvL350_Exposure(us),InvL350_Total Frames,L35_Exposure(us),L35_Total Frames,L350_Exposure(us),L350_Total Frames
HC201,66667,3083,6667,8942,66667,3235,6667,8942
HC201-2,66667,3905,6667,8942,66667,3052,6667,8942
HC202,66667,3173,6667,8942,66667,3152,6667,8942
HC203,66667,2776,6667,8942,66667,2593,6667,8942
HC204,66667,2724,6667,8942,66667,2631,6667,8942
HC205,66667,3102,6667,8942,66667,3487,6667,8942
HC206,66667,3753,6667,8942,66667,2944,6667,8942
HC207,66667,3656,6667,8843,66667,3440,6667,8849
WB201,66667,2767,6667,8780,66666,2790,6667,8735
WB203,66666,3091,6666,8486,66666,2930,6666,8173
WB204,66667,2689,6666,8942,66666,2739,6667,8760
WB205,10000,8942,6667,8942,10000,8942,3333,8942
WB206,10000,8942,3333,8942,10000,8942,6667,8942
WB207,10000,8942,3333,8942,10000,8942,3333,8942
WB208,10000,8942,3333,8942,10000,8942,3333,8942
WB209,10000,8942,3333,8942,10000,8942,3333,8942
WB210,10000,8942,3333,8942,10000,8942,3333,8942
WB211,66667,2924,6667,8942,66667,2924,6667,8942
WB212,66667,3800,6666,8942,66666,3037,6667,8942
WB214,66667,4046,6666,8942,66667,3867,6666,8942
WB215,66667,3753,6666,8942,66666,3953,6666,8942
WB216,66666,3642,6666,8942,66666,3796,6667,8942
WB217,66666,4450,6666,8942,66666,3260,6667,8942
WB218,66666,3075,6666,8942,66666,3218,6667,8942
WB219,66666,2039,6666,8942,66666,2073,6667,8942
WB221,66666,3255,6666,8942,66666,3362,6667,8942
WB222,66666,3172,6666,8942,66666,2865,6667,8942
WB223,66666,3444,6666,8942,66666,2637,6667,8942
WB224,66666,2751,6666,8942,66666,3227,6667,8942
WB225,66666,3263,6666,8942,66666,2812,6667,8942
WB226,66666,2679,6666,8942,66666,2698,6667,8942
WB227,66666,2698,6666,8942,66666,2892,6667,8942
WB229,66666,3161,6666,8942,66666,2717,6667,8942
WB231,66666,2838,6666,8942,66666,2627,6667,8942
WB232,66666,3615,6666,8942,66666,3506,6667,8942
WB233,66666,3623,6666,8942,66666,3528,6667,8942
WB234,66666,3799,6666,8942,66666,3242,6667,8942
WB235,66666,3490,6666,8942,66666,3004,6667,8942
WB236,66666,3473,6666,8942,66666,4027,6667,8942
WB237,66666,2679,6666,8942,66666,2698,6667,8942
WB238,66666,3490,6666,8942,66666,2932,6667,8942
WB239,66666,3027,6666,8062,66666,3692,6667,3020
WB240,66666,2633,6666,8068,66666,2188,6667,3395
WB241,66666,3395,6666,3395,66666,2619,6667,3924
WB242,66666,2419,6666,8068,66666,2764,6667,8068
WB243,66666,2484,6666,8068,66666,2686,6667,8068
WB244,66666,4959,6666,8109,66666,4070,6667,8109
WB245,66666,3913,6666,8138,66666,3385,6667,8192
WB246,66666,3764,6666,8248,66666,4532,6667,8070
WB247,66666,3235,6666,8309,66666,4222,6667,8344
WB248,66666,3774,6666,8353,66666,4401,6667,8401
WB249,66666,3388,6666,8859,66666,3722,6667,8942
WB251,66666,3361,6666,8511,66666,3842,6667,8837
WB252,66666,3500,6666,8834,66666,3780,6667,8068
WB253,66666,3448,6666,8876,66666,3642,6667,8849
WB254,66666,3126,6666,8830,66666,3765,6667,8838
WB255,66666,3057,6666,8832,66666,2912,6667,8807
WBC256,66666,2060,6666,8415,66666,3728,6667,8415
WBC257,66667,4896,6667,8838,66666,3628,6667,8812
WBC258,66667,4560,6667,8805,66666,3459,6667,8822
WBC259,66667,3243,6667,8818,66666,3347,6667,8825
WBC260,66667,3801,6667,8794,66666,4419,6667,8835
WBC261,66667,3681,6667,8813,66666,3046,6667,8803
WBC262,66667,3371,6667,8810,66666,3759,6667,8806
WBC264,66667,2560,6667,8882,66666,3457,6667,8894
WBC265,66667,5589,6667,8879,66666,5154,6667,8867
WBC266,66667,2919,6667,8870,66666,2329,6667,8925
WBC267,66667,3143,6667,8882,66666,3273,6667,8840
WBC268,66667,3218,6667,8884,66666,3531,6667,8859
WBC269,66667,3565,6667,8873,66666,3173,6667,8873
WBC270,66667,2954,6667,8881,66666,2889,6667,8870
WBC271,66667,3239,6667,8890,66666,4769,6667,8863
WBC272,66667,3491,6667,8871,66666,3539,6667,8887
WBC273,66667,3251,6667,8871,66666,3189,6667,8882
WBC274,66667,3167,6667,8863,66666,4125,6667,8851
WBC275,66667,3564,6667,8897,66666,3548,6667,8863
WBC276,66667,4357,6667,8876,66666,4203,6667,8884
WBC277,66667,3587,6667,8869,66666,3144,6667,8843
WBC278,66667,3586,6667,8825,66666,3675,6667,8835
WBC279,66667,4582,6667,8942,66666,4504,6667,8942
WBC280,66667,2525,6667,8942,66666,4304,6667,8942
WBC281,66667,4287,6667,8854,66666,5122,6667,8887
WBC282,66667,3188,6667,8896,66666,3473,6667,8888
WBC283,66667,4080,6667,8859,66666,4684,6667,8876
WBC284,66667,3838,6667,8864,66666,4035,6667,8862
